feature,dtype,missing_count,missing_pct,unique_count,mean,std,min,median,max
num_perimeters_0_5h,int64,0,0.0,11,2.1363636363636362,2.7430194757157382,1.0,1.0,17.0
low_temporal_resolution_0_5h,int64,0,0.0,2,0.7272727272727273,0.446632420991266,0.0,1.0,1.0
log1p_area_first,float64,0,0.0,176,4.789261646445007,2.073456312242458,0.2445811964930707,4.907743356605326,9.114168197359897
log_area_ratio_0_5h,float64,0,0.0,24,0.08128078014501837,0.3347804285864649,-1.4378443892262906e-07,0.0,2.9386165208934463
centroid_speed_m_per_h,float64,0,0.0,24,14.891919736948743,65.75303476944562,0.0,0.0,595.0586973064027
spread_bearing_sin,float64,0,0.0,24,0.06726340603685384,0.3017187187079703,-0.9996783781709324,0.0,0.9976868848411212
spread_bearing_cos,float64,0,0.0,24,0.87023754952288,0.38534268318583903,-0.9748699054939264,1.0,1.0
dist_min_ci_0_5h,float64,0,0.0,176,118676.9369932728,170038.64826621368,306.95455122724024,29596.491112677628,757700.487102109
closing_speed_m_per_h,float64,0,0.0,18,2.582928764075594,30.090279375759312,-51.39749374698055,0.0,354.12089737972235
alignment_cos,float64,0,0.0,49,-0.0008849322200866458,0.36021417323677196,-0.999989887298066,0.0,0.9945939224532974
event_start_hour,int64,0,0.0,21,15.647727272727273,7.621083196692521,0.0,19.0,23.0
event_start_month,int64,0,0.0,8,6.806818181818182,1.5628395734903608,1.0,7.0,9.0
